,M01AB,M01AB,M01AB,M01AB,M01AE,M01AE,M01AE,M01AE,N02BA,N02BA,N02BA,N02BA,N02BE,N02BE,N02BE,N02BE,N05B,N05B,N05B,N05B,N05C,N05C,N05C,N05C,R03,R03,R03,R03,R06,R06,R06,R06,Temperature,Temperature,Temperature,Dew Point,Dew Point,Dew Point,Humidity,Humidity,Humidity,Wind Speed,Wind Speed,Wind Speed,Wind Gust,Wind Gust,Wind Gust,Pressure,Pressure,Pressure,Precip.,Precip.,Precip.,Condition_int,Condition_int,Condition_int
,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean
datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2014,121,0,4,0.18445122,88,0,2,0.134146341,140,0,4,0.213414634,847,0,20,1.291158537,330,0,7,0.50304878,29,0,3,0.044207317,112,0,10,0.170731707,47,0,4,0.071646341,0,84,63.67530488,0,55,33.9222561,0,82,39.11890244,0,29,8.297256098,0,36,0.355182927,0,30.19,29.07560976,0,0,0,0,4,0.471036585
2/28/2014,126,0,5,0.200956938,118,0,3,0.188197767,169,0,4,0.26953748,961,0,16,1.532695375,335,0,7,0.534290271,29,0,3,0.046251994,122,0,11,0.194577352,36,0,5,0.057416268,0,84,68.73205742,0,66,38.02392344,0,94,39.98086124,0,99,9.614035088,0,25,0.079744817,0,30.07,29.33503987,0,0,0,0,5,0.582137161
3/31/2014,128,0,4,0.180535966,82,0,3,0.115655853,142,0,6,0.200282087,766,0,18,1.080394922,230,0,6,0.324400564,20,0,2,0.028208745,112,0,21,0.15796897,84,0,3,0.118476728,0,91,76.48519041,0,68,50.17066291,0,94,45.41748942,0,24,9.166431594,0,25,0.101551481,0,30.43,29.59873061,0,0,0,0,7,0.947813822
4/30/2014,103,0,5,0.148629149,77,0,3,0.111111111,115,0,3,0.165945166,675,0,12,0.974025974,206,0,4,0.297258297,18,0,3,0.025974026,91,0,6,0.131313131,71,0,2,0.102453102,0,106,83.41702742,0,75,64.31168831,0,89,56.59018759,0,28,10.24242424,0,29,0.193362193,0,29.92,29.39914863,0,0,0,0,10,1.19047619
5/31/2014,94,0,4,0.131101813,106,0,3,0.147838215,126,0,3,0.175732218,617,0,13,0.860529986,263,0,6,0.366806137,21,0,3,0.029288703,107,0,20,0.149232915,123,0,3,0.171548117,0,104,87.18410042,0,79,71.52859135,0,89,61.20083682,0,203,13.10878661,0,30,0.20083682,0,29.78,29.21152022,0,0,0,0,12,1.274755927
6/30/2014,107,0,4,0.150492264,84,0,2,0.11814346,120,0,3,0.168776371,546,0,11,0.767932489,319,0,6,0.448663854,23,0,3,0.032348805,57,0,10,0.080168776,108,0,4,0.151898734,79,108,89.62869198,61,81,75.30801688,26,89,63.6230661,3,37,15.91701828,0,0,0,0,29.66,27.67601969,0,0,0,0,15,2.807313643
7/31/2014,113,0,4,0.155433287,83,0,3,0.114167813,127,0,4,0.174690509,489,0,16,0.672627235,343,0,11,0.471801926,21,0,2,0.028885832,57,0,10,0.078404402,69,0,3,0.094910591,79,99,86.89133425,68,82,73.99312242,44,94,66.10316369,0,152,15.76616231,0,0,0,0,29.6,29.32877579,0,0,0,0,22,3.646492435
8/31/2014,115,0,3,0.163584637,84,0,3,0.119487909,120,0,3,0.170697013,513,0,13,0.72972973,401,0,7,0.570412518,29,0,5,0.041251778,37,0,10,0.052631579,60,0,3,0.085348506,0,99,85.3314367,0,79,72.02987198,0,94,64.7197724,0,29,13.75675676,0,0,0,0,29.75,29.23008535,0,0,0,0,18,2.856330014
9/30/2014,102,0,5,0.146341463,92,0,3,0.131994261,106,0,3,0.152080344,839,0,20,1.203730273,387,0,7,0.555236729,13,0,1,0.018651363,115,0,21,0.164992826,57,0,2,0.081779053,0,104,84.75609756,0,75,70.46484935,0,84,63.03156385,1,165,13.93687231,0,23,0.032998565,0,29.84,29.5813056,0,0,0,0,15,2.408895265
10/31/2014,91,0,5,0.128712871,92,0,3,0.130127298,126,0,4,0.178217822,1006,0,20,1.42291372,409,0,9,0.578500707,18,0,3,0.025459689,161,0,20,0.227722772,43,0,2,0.060820368,66,104,83.74540311,30,73,58.73550212,9,89,48.08062235,0,24,7.595473833,0,0,0,29.63,29.95,29.80065064,0,0,0,0,21,2.451202263
11/30/2014,128,0,5,0.18962963,83,0,2,0.122962963,132,0,5,0.195555556,660,0,11,0.977777778,462,0,7,0.684444444,19,0,3,0.028148148,105,0,10,0.155555556,40,0,4,0.059259259,0,93,77.75703704,0,73,50.47703704,0,89,45.05925926,0,23,6.638518519,0,0,0,0,30.01,29.78431111,0,0,0,0,20,2.805925926
12/31/2014,122,0,5,0.170868347,101,0,3,0.141456583,96,0,4,0.134453782,967,0,17,1.354341737,465,0,11,0.651260504,22,0,2,0.030812325,152,0,10,0.212885154,29,0,2,0.040616246,0,90,67.44117647,0,64,38.2394958,0,88,38.70028011,0,20,5.788515406,0,0,0,0,31.1,29.90794118,0,0,0,0,20,3.523809524
1/31/2015,130,0,4,0.178326475,114,0,3,0.156378601,139,0,5,0.190672154,1033,0,17,1.417009602,456,0,9,0.625514403,24,0,2,0.032921811,176,0,20,0.241426612,42,0,2,0.057613169,0,86,66.10973937,0,66,44.53223594,0,94,49.65980796,0,162,8.189300412,0,0,0,0,30.13,29.44026063,0,0,0,0,23,4.764060357
2/28/2015,110,0,4,0.168195719,106,0,3,0.162079511,122,0,4,0.186544343,941,0,17,1.43883792,238,0,6,0.363914373,9,0,1,0.013761468,208,0,25,0.318042813,47,0,2,0.071865443,55,91,72.27217125,18,70,51.14220183,11,94,52.01376147,0,51,8.902140673,0,21,0.055045872,0,30.16,29.83819572,0,0,0,0,24,3.363914373
3/31/2015,150,0,5,0.204359673,113,0,4,0.153950954,128,0,3,0.174386921,1064,0,24,1.449591281,206,0,5,0.280653951,13,0,4,0.017711172,170,0,21,0.231607629,54,0,2,0.073569482,0,100,77.02724796,0,70,51.64168937,0,88,45.85831063,0,76,8.467302452,0,40,0.324250681,29.66,30.13,29.85633515,0,0,0,0,21,2.001362398
4/30/2015,137,0,4,0.19683908,82,0,3,0.117816092,113,0,4,0.162356322,901,0,14,1.29454023,188,0,6,0.270114943,5,0,2,0.007183908,95,0,10,0.136494253,107,0,4,0.153735632,73,104,85.96264368,34,77,63.20545977,11,88,51.25574713,0,24,9.808908046,0,0,0,29.54,29.87,29.69525862,0,0,0,0,21,2.287356322
5/31/2015,148,0,3,0.204137931,101,0,3,0.139310345,131,0,3,0.180689655,731,0,25,1.008275862,187,0,5,0.257931034,10,0,2,0.013793103,100,0,20,0.137931034,159,0,5,0.219310345,0,109,87.79448276,0,79,73.23586207,0,84,63.89793103,0,124,11.83724138,0,28,0.077241379,0,29.75,29.53651034,0,0,0,0,15,1.569655172
6/30/2015,141,0,5,0.201428571,99,0,2,0.141428571,144,0,3,0.205714286,708,0,13,1.011428571,215,0,8,0.307142857,12,0,2,0.017142857,193,0,20,0.275714286,124,0,4,0.177142857,77,111,91.12428571,52,88,73.2,0,89,57.42285714,0,28,12.17,0,32,0.045714286,0,29.72,29.08248571,0,0,0,0,28,2.232857143
7/31/2015,160,0,5,0.231213873,94,0,2,0.13583815,114,0,4,0.164739884,661,0,12,0.955202312,191,0,9,0.276011561,6,0,2,0.00867052,57,0,6,0.082369942,118,0,3,0.170520231,0,95,87.17052023,0,82,74.84682081,0,94,67.35260116,0,29,14.77601156,0,0,0,0,29.63,29.28575145,0,0,0,0,29,5.075144509
8/31/2015,169,0,3,0.238028169,129,0,4,0.181690141,121,0,3,0.170422535,765,0,14,1.077464789,248,0,6,0.349295775,15,0,3,0.021126761,42,0,5,0.05915493,79,0,3,0.111267606,0,97,84.21971831,0,75,72.20985915,0,89,67.20985915,0,146,12.82253521,0,0,0,29.42,29.66,29.55284507,0,0,0,0,18,3.295774648
9/30/2015,150,0,4,0.216763006,114,0,4,0.164739884,103,0,2,0.148843931,831,0,17,1.200867052,236,0,7,0.341040462,11,0,3,0.015895954,91,0,6,0.13150289,69,0,3,0.099710983,0,108,85.37572254,0,77,69.21676301,0,84,60.4234104,0,35,9.25,0,0,0,29.39,29.89,29.65754335,0,0,0,0,11,1.813583815
10/31/2015,181,0,4,0.254571027,107,0,2,0.150492264,135,0,3,0.189873418,1532,0,21,2.154711674,214,0,9,0.300984529,7,0,2,0.009845288,182,0,15,0.255977496,69,0,3,0.097046414,68,104,85.2137834,34,77,64.51758087,12,89,54.09001406,0,18,7.894514768,0,0,0,0,29.98,29.68032349,0,0,0,0,30,1.752461322
11/30/2015,131,0,4,0.188489209,110,0,3,0.158273381,136,0,3,0.195683453,1184,0,20,1.703597122,217,0,9,0.312230216,18,0,3,0.025899281,165,0,20,0.237410072,42,0,2,0.060431655,0,97,76.97985612,0,73,43.76546763,0,89,34.47482014,0,124,6.438848921,0,0,0,0,30.07,29.75847482,0,0,0,0,20,3.553956835
12/31/2015,148,0,5,0.205270458,119,0,3,0.165048544,134,0,6,0.185852982,1239,0,21,1.718446602,282,0,11,0.39112344,28,0,4,0.038834951,231,0,20,0.32038835,40,0,3,0.055478502,0,88,67.58391123,0,66,38.23439667,0,88,38.99167822,0,99,5.26629681,0,0,0,0,30.22,29.88169209,0,0,0,0,20,4.306518724
1/31/2016,157,0,5,0.218055556,110,0,3,0.152777778,165,0,5,0.229166667,1449,0,26,2.0125,244,0,10,0.338888889,24,0,3,0.033333333,174,0,11,0.241666667,56,0,2,0.077777778,0,86,69.08055556,0,66,51.28611111,0,94,56.27222222,0,18,5.572222222,0,0,0,0,30.13,29.85793056,0,0,0,0,20,4.618055556
2/29/2016,158,0,5,0.245723173,113,0,3,0.175738725,118,0,5,0.183514774,1128,0,19,1.754276827,224,0,8,0.34836703,19,0,4,0.029548989,232,0,20,0.360808709,54,0,3,0.083981337,54,97,72.26749611,14,64,39.81026439,7,88,36.23950233,0,33,7.541213064,0,0,0,29.75,30.07,29.92147745,0,0,0,0,21,2.368584759
3/31/2016,142,0,4,0.194520548,150,0,5,0.205479452,141,0,5,0.193150685,1119,0,19,1.532876712,247,0,11,0.338356164,13,0,2,0.017808219,252,0,21,0.345205479,97,0,3,0.132876712,64,95,80.00273973,28,81,58.60958904,0,88,51.80684932,0,23,8.794520548,0,0,0,0,29.98,29.78743836,0,0,0,0,15,1.476712329
4/30/2016,145,0,4,0.214497041,118,0,3,0.174556213,139,0,4,0.205621302,919,0,18,1.359467456,276,0,12,0.408284024,18,0,2,0.026627219,215,0,12,0.318047337,149,0,3,0.220414201,73,102,83.49260355,27,75,65.51183432,7,89,57.46005917,0,152,10.47781065,0,29,0.042899408,29.51,29.89,29.70696746,0,0,0,0,15,1.207100592
5/31/2016,146,0,4,0.205923836,104,0,3,0.146685472,121,0,3,0.170662906,941,0,23,1.327221439,239,0,10,0.337094499,18,0,5,0.02538787,118,0,11,0.166431594,133,0,3,0.187588152,0,100,87.36389281,0,79,73.32016925,0,84,63.95486601,3,35,12.46403385,0,0,0,0,29.75,29.28698166,0,0,0,0,15,1.575458392
6/30/2016,153,0,6,0.219827586,100,0,3,0.143678161,110,0,2,0.158045977,724,0,14,1.040229885,267,0,14,0.38362069,20,0,3,0.028735632,125,0,20,0.179597701,127,0,4,0.182471264,77,104,88.36494253,52,84,73.75287356,20,100,63.55890805,0,39,13.08333333,0,0,0,0,29.69,28.85929598,0,0,0,0,29,2.859195402
7/31/2016,175,0,5,0.254360465,112,0,3,0.162790698,124,0,4,0.180232558,593,0,15,0.861918605,230,0,10,0.334302326,7,0,2,0.010174419,98,0,20,0.14244186,106,0,3,0.154069767,81,97,86.56540698,70,81,74.6627907,46,89,68.27034884,0,23,12.52906977,0,0,0,0,29.6,28.94180233,0,0,0,0,31,4.431686047
8/31/2016,195,0,5,0.270083102,86,0,2,0.119113573,126,0,3,0.174515235,664,0,11,0.91966759,250,0,10,0.346260388,12,0,4,0.016620499,114,0,15,0.157894737,82,0,3,0.113573407,0,99,84.66759003,0,79,73.8033241,0,94,70.40027701,0,23,10.91966759,0,0,0,0,29.72,29.33555402,0,0,0,0,29,4.358725762
9/30/2016,152,0,5,0.223201175,100,0,2,0.146842878,109,0,3,0.160058737,1039,0,20,1.525697504,285,0,13,0.418502203,17,0,3,0.024963289,106,0,10,0.155653451,61,0,2,0.089574156,79,93,83.77826725,63,77,71.28781204,40,83,66.66372981,0,69,12.41703377,0,0,0,0,29.75,29.50894273,0,0,0,0,18,2.099853157
10/31/2016,173,0,5,0.248563218,110,0,3,0.158045977,148,0,3,0.212643678,1462,0,21,2.100574713,263,0,10,0.377873563,11,0,3,0.015804598,213,0,10,0.306034483,59,0,2,0.084770115,0,97,82.24425287,0,77,68.09195402,0,94,64.72557471,0,22,7.456896552,0,0,0,0,29.98,29.57137931,0,0,0,0,20,2.728448276
11/30/2016,154,0,6,0.226138032,89,0,2,0.130690162,119,0,6,0.174743025,985,0,19,1.446402349,209,0,11,0.306901615,27,0,5,0.039647577,147,0,10,0.215859031,49,0,2,0.07195301,0,99,75.34361233,0,77,50.11306902,0,100,47.05726872,0,18,4.845814978,0,0,0,0,30.04,29.70753304,0,0,0,0,20,4.778267254
12/31/2016,144,0,5,0.210526316,103,0,3,0.150584795,106,0,3,0.15497076,1413,0,29,2.065789474,186,0,9,0.271929825,15,0,3,0.021929825,229,0,10,0.334795322,30,0,2,0.043859649,0,91,71.70760234,0,70,49.52046784,0,100,52.32894737,0,116,4.992690058,0,0,0,0,30.07,29.87611111,0,0,0,0,24,6.171052632
1/31/2017,148,0,2,0.207282913,115,0,2,0.161064426,150,0,3,0.210084034,1380,0,13,1.932773109,405,0,5,0.567226891,24,0,2,0.033613445,175,0,9,0.245098039,28,0,2,0.039215686,50,84,64.93417367,0,73,43.28711485,0,94,50.48179272,0,30,7.396358543,0,0,0,0,30.22,29.91648459,0,0,0,0,29,5.274509804
2/28/2017,139,0,6,0.218210361,104,0,2,0.163265306,101,0,3,0.15855573,617,0,12,0.968602826,156,0,9,0.244897959,8,0,2,0.01255887,129,0,15,0.202511774,30,0,2,0.047095761,0,93,71.46153846,0,68,38.81789639,0,83,35.02040816,0,31,7.274725275,0,38,0.059654631,0,30.13,29.83042386,0,0,0,0,22,2.26844584
3/31/2017,151,0,6,0.212376934,86,0,2,0.120956399,95,0,3,0.133614627,584,0,18,0.82137834,156,0,9,0.219409283,8,0,3,0.011251758,109,0,7,0.153305204,94,0,3,0.132208158,55,99,78.2278481,-2,73,54.55555556,4,94,50.89592124,0,29,7.914205345,0,0,0,0,29.95,29.63139241,0,0,0,0,20,2.203938115
4/30/2017,137,0,5,0.201174743,80,0,6,0.117474302,85,0,3,0.124816446,500,0,13,0.734214391,125,0,6,0.183553598,9,0,2,0.013215859,176,0,20,0.258443465,113,0,3,0.165932452,0,108,84.25844347,0,75,60.6020558,0,89,51.79882526,0,124,9.10866373,0,0,0,0,29.95,29.6360793,0,0,0,0,15,2.370044053
5/31/2017,128,0,6,0.179523142,98,0,2,0.137447405,90,0,4,0.126227209,514,0,17,0.720897616,145,0,5,0.203366059,23,0,6,0.032258065,124,0,7,0.173913043,156,0,3,0.218793829,79,100,87.97896213,57,88,73.87938289,0,89,64.22159888,0,35,10.9312763,0,0,0,0,29.78,29.37897616,0,0,0,0,20,1.875175316
6/30/2017,112,0,5,0.169954476,88,0,5,0.13353566,89,0,3,0.135053111,444,0,12,0.673748103,150,0,6,0.227617602,7,0,3,0.010622155,146,0,21,0.2215478,141,0,5,0.213960546,0,117,88.85584219,0,82,75.06069803,0,94,64.30197269,0,109,11.49620637,0,0,0,0,29.6,28.84133536,0,0,0,0,34,3.509863429
7/31/2017,140,0,5,0.193370166,102,0,4,0.140883978,70,0,3,0.096685083,470,0,9,0.649171271,212,0,11,0.29281768,15,0,3,0.020718232,93,0,20,0.128453039,79,0,2,0.109116022,79,97,85.75414365,70,95,75.65745856,0,94,72.26243094,0,169,12.23066298,0,0,0,0,29.6,29.32930939,0,0,0,0,35,4.990331492
8/31/2017,162,0,5,0.221311475,96,0,4,0.131147541,82,0,3,0.112021858,541,0,16,0.739071038,238,0,14,0.325136612,12,0,3,0.016393443,70,0,6,0.095628415,59,0,2,0.080601093,77,102,85.30191257,63,81,74.06830601,27,94,70.1147541,0,29,10.71721311,0,0,0,0,29.72,29.33122951,0,0,0,0,31,4.433060109
9/30/2017,129,0,4,0.184285714,100,0,3,0.142857143,86,0,3,0.122857143,846,0,16,1.208571429,218,0,11,0.311428571,23,0,3,0.032857143,133,0,21,0.19,65,0,4,0.092857143,73,99,84.21428571,54,79,72.46857143,22,94,69.26714286,0,18,7.412857143,0,0,0,0,29.78,29.25277143,0,0,0,0,20,2.672857143
10/31/2017,130,0,5,0.177353342,72,0,3,0.098226467,98,0,4,0.133697135,1171,0,26,1.597544338,223,0,6,0.304229195,14,0,3,0.019099591,245,0,21,0.334242838,48,0,2,0.065484311,66,106,84.41200546,34,81,64.13915416,8,100,56.92905866,0,52,4.841746248,0,0,0,0,29.98,29.60994543,0,0,0,0,36,4.135061392
11/30/2017,152,0,5,0.215602837,101,0,3,0.143262411,97,0,3,0.137588652,830,0,13,1.177304965,186,0,12,0.263829787,15,0,3,0.021276596,195,0,20,0.276595745,45,0,2,0.063829787,0,95,74.64255319,0,72,47.44680851,0,94,43.26382979,0,21,3.706382979,0,0,0,0,30.07,29.83209929,0,0,0,0,20,4.011347518
12/31/2017,152,0,6,0.209366391,105,0,3,0.144628099,109,0,3,0.150137741,990,0,21,1.363636364,224,0,7,0.308539945,6,0,3,0.008264463,204,0,15,0.280991736,46,0,3,0.063360882,0,88,67.5261708,-2,64,33.95867769,0,94,33.72727273,0,97,8.370523416,0,0,0,0,30.16,29.38112948,0,0,0,0,28,3.61707989
1/31/2018,122,0,6,0.16576087,92,0,2,0.125,97,0,3,0.131793478,1114,0,27,1.513586957,224,0,6,0.304347826,11,0,6,0.014945652,219,0,20,0.297554348,48,0,2,0.065217391,0,86,67.32065217,0,64,44.98505435,0,100,49.58695652,0,22,5.38451087,0,0,0,0,30.07,29.76607337,0,0,0,0,20,4.838315217
2/28/2018,117,0,5,0.179723502,113,0,3,0.173579109,101,0,5,0.155145929,1206,0,23,1.852534562,255,0,7,0.391705069,12,0,3,0.01843318,221,0,20,0.339477727,39,0,2,0.059907834,0,93,72.43317972,0,72,50.23963134,0,100,51.76344086,0,25,5.97235023,0,0,0,0,30.19,29.84428571,0,0,0,0,20,4.668202765
3/31/2018,142,0,6,0.192411924,92,0,2,0.124661247,119,0,4,0.161246612,995,0,20,1.348238482,368,0,13,0.498644986,42,0,6,0.056910569,260,0,11,0.352303523,83,0,5,0.112466125,63,106,80.33875339,18,79,56.54607046,0,88,49.69647696,0,23,7.727642276,0,0,0,0,29.95,29.58485095,0,0,0,0,20,2.182926829
4/30/2018,161,0,4,0.228045326,84,0,2,0.11898017,81,0,3,0.114730878,790,0,23,1.11898017,288,0,12,0.407932011,14,0,6,0.019830028,229,0,20,0.324362606,196,0,5,0.277620397,0,104,85.43767705,0,82,64.601983,0,100,55.4815864,0,23,9.40509915,0,0,0,29.54,29.87,29.68443343,0,0,0,0,13,1.902266289
5/31/2018,148,0,3,0.203296703,86,0,3,0.118131868,84,0,3,0.115384615,626,0,18,0.85989011,256,0,7,0.351648352,13,0,3,0.017857143,162,0,21,0.222527473,211,0,4,0.289835165,0,111,89.78159341,0,79,65.96565934,0,84,51.63186813,0,825,11.73214286,0,0,0,0,29.75,29.50153846,0,0,0,0,21,2.114010989
6/30/2018,132,0,7,0.185393258,94,0,2,0.132022472,85,0,2,0.119382022,582,0,16,0.81741573,246,0,7,0.345505618,18,0,3,0.025280899,98,0,9,0.137640449,118,0,3,0.165730337,75,99,88.41573034,64,82,75.16292135,37,89,65.53651685,0,28,12.56039326,0,0,0,0,29.63,29.14671348,0,0,0,0,35,4.358146067
7/31/2018,134,0,5,0.188466948,106,0,5,0.149085795,84,0,3,0.11814346,646,0,12,0.908579466,273,0,6,0.383966245,19,0,4,0.026722925,88,0,22,0.123769339,119,0,3,0.167369902,81,97,86.63009845,54,79,73.48101266,28,84,65.395218,0,193,12.44303797,0,0,0,0,29.54,29.15390999,0,0,0,0,24,4.541490858
8/31/2018,124,0,7,0.172942817,95,0,3,0.132496513,80,0,3,0.111576011,689,0,15,0.960948396,238,0,10,0.331938633,20,0,3,0.027894003,147,0,21,0.205020921,89,0,3,0.124128312,79,93,83.56066946,66,81,72.77266388,46,89,70.34867503,0,23,11.84797768,0,0,0,0,29.87,29.31168759,0,0,0,0,26,5.553695955
9/30/2018,146,0,5,0.206214689,95,0,3,0.134180791,83,0,2,0.117231638,1034,0,23,1.460451977,261,0,5,0.368644068,12,0,3,0.016949153,204,0,22,0.288135593,87,0,3,0.122881356,77,104,83.35169492,48,84,70.90254237,0,89,67.13841808,0,151,10.80084746,0,0,0,0,29.81,29.62187853,0,0,0,0,22,2.892655367
10/31/2018,135,0,3,0.183423913,111,0,3,0.150815217,72,0,3,0.097826087,1116,0,18,1.516304348,286,0,5,0.388586957,25,0,3,0.033967391,322,0,20,0.4375,76,0,2,0.10326087,68,102,84.38315217,28,84,60.59103261,0,94,50.87228261,0,18,5.5625,0,0,0,29.45,29.98,29.80433424,0,0,0,0,20,3.392663043
11/30/2018,164,0,6,0.231638418,89,0,3,0.125706215,99,0,4,0.139830508,968,0,18,1.367231638,251,0,6,0.354519774,22,0,3,0.031073446,309,0,21,0.436440678,46,0,2,0.064971751,0,97,78.38700565,0,75,50.16949153,0,89,43.41242938,0,23,5.538135593,0,0,0,29.69,30.1,29.88183616,0,0,0,0,20,4.442090395
12/31/2018,135,0,6,0.186464088,96,0,2,0.132596685,81,0,4,0.111878453,1181,0,25,1.63121547,249,0,8,0.343922652,27,0,4,0.037292818,348,0,21,0.480662983,51,0,5,0.070441989,48,88,68.11740331,10,66,42.17265193,7,88,43.25,0,29,6.544198895,0,0,0,0,30.19,29.91360497,0,0,0,0,29,3.95718232
1/31/2019,173,0,4,0.239280775,171,0,3,0.236514523,92,0,2,0.12724758,1608,0,18,2.22406639,285,0,5,0.394190871,20,0,3,0.027662517,382,0,12,0.52835408,41,0,2,0.05670816,0,84,66.58229599,0,64,45.57676349,0,94,50.00414938,0,25,6.532503458,0,0,0,0,30.22,29.90567082,0,0,0,0,37,5.489626556
2/28/2019,121,0,4,0.188180404,116,0,4,0.180404355,101,0,5,0.157076205,977,0,24,1.519440124,246,0,6,0.382581649,11,0,3,0.017107309,202,0,16,0.314152411,62,0,3,0.096423017,0,88,69.04199067,0,68,44.32037325,0,88,45.54121306,0,26,8.749611198,0,0,0,0,30.13,29.88034215,0,0,0,0,22,3.195956454
3/31/2019,140,0,5,0.192307692,89,0,2,0.122252747,73,0,3,0.100274725,911,0,19,1.251373626,290,0,6,0.398351648,19,0,3,0.026098901,256,0,22,0.351648352,160,0,4,0.21978022,57,100,76.48214286,28,73,51.83104396,0,88,46.25824176,0,21,7.10989011,0,0,0,29.66,30.1,29.84809066,0,0,0,0,22,2.428571429
4/30/2019,148,0,6,0.214492754,84,0,3,0.12173913,79,0,3,0.114492754,606,0,12,0.87826087,288,0,8,0.417391304,20,0,3,0.028985507,195,0,21,0.282608696,168,0,4,0.243478261,0,106,84.22608696,0,75,64.66811594,0,89,55.34782609,0,38,9.220289855,0,0,0,29.51,29.89,29.71092754,0,0,0,0,35,2.271014493
5/31/2019,147,0,6,0.210601719,77,0,2,0.110315186,91,0,3,0.130372493,660,0,13,0.945558739,246,0,7,0.35243553,25,0,3,0.035816619,288,0,20,0.41260745,126,0,3,0.180515759,75,106,86.93123209,16,81,70.2034384,4,94,60.5,0,23,10.91404011,0,0,0,29.42,29.78,29.63687679,0,0,0,0,30,2.206303725
6/30/2019,136,0,5,0.198250729,82,0,2,0.119533528,100,0,5,0.145772595,581,0,19,0.846938776,184,0,5,0.268221574,24,0,4,0.034985423,133,0,10,0.193877551,145,0,5,0.211370262,81,106,90.55102041,57,82,75.0393586,26,84,61.803207,0,25,11.00145773,0,0,0,0,29.6,28.96161808,0,0,0,0,24,3.075801749
7/31/2019,174,0,7,0.238356164,84,0,3,0.115068493,90,0,2,0.123287671,612,0,16,0.838356164,245,0,8,0.335616438,20,0,4,0.02739726,115,0,21,0.157534247,101,0,3,0.138356164,79,100,88.08767123,57,82,74.61369863,35,94,65.42191781,3,37,14.63287671,0,38,0.095890411,0,29.54,29.34657534,0,0,0,0,38,6.061643836
8/31/2019,166,0,5,0.228335626,67,0,2,0.09215956,75,0,3,0.103163686,509,0,20,0.700137552,234,0,5,0.321870702,26,0,5,0.035763411,143,0,20,0.196698762,91,0,2,0.125171939,0,97,84.44704264,0,84,75.31086657,0,100,74.39064649,0,150,8.96698762,0,0,0,0,29.69,28.99357634,0,0,0,0,27,4.887207703
9/30/2019,150,0,5,0.212765957,89,0,2,0.126241135,88,0,4,0.124822695,959,0,17,1.360283688,218,0,8,0.309219858,16,0,3,0.022695035,116,0,21,0.164539007,105,0,3,0.14893617,75,104,86.66382979,57,81,75.5035461,0,94,70.82553191,0,40,8.478014184,0,0,0,0,29.78,29.42462411,0,0,0,0,28,3.763120567
10/31/2019,39,0,5,0.210810811,30,0,3,0.162162162,17,0,2,0.091891892,291,0,12,1.572972973,85,0,13,0.459459459,7,0,3,0.037837838,37,0,10,0.2,11,0,2,0.059459459,73,93,84.03243243,57,79,69.57837838,30,89,63.08108108,0,21,9.340540541,0,0,0,29.66,29.89,29.77345946,0,0,0,0,27,2.891891892
